id,category,score,status,dealer,url,price_usd,condition,city_state,year,model,finish,serial,weight_lbs,nut_width_in,fret1_depth_in,fret12_depth_in,neck_profile,shoulder_description,fingerboard_radius,pickups,case_included,modifications,measurements_source,date_discovered,last_confirmed_active
g025,les_paul,96.6,ACTIVE,Dave's Guitar Shop,https://davesguitar.com/products/les-paul-standard-35,1850,Used - Very Good,"La Crosse, WI",2012,Gibson Les Paul Standard,Pelham Blue,,8.8,1.6875,0.81,0.89,SlimTaper,,"12""","Gibson Lead Pro (bridge) / Rhy Pro (neck), push-pull coil tap and phase",True,None noted; a few dings on back of body,dealer measured,2026-07-19,2026-07-25
g037,les_paul,96.3,ACTIVE,Chicago Music Exchange,https://chicagomusicexchange.com/products/gibson-les-paul-traditional-pro-v-blueberry-2023-2612994,1795,Used - Very Good (minimal wear),"Chicago, IL",2023,Gibson Les Paul Traditional Pro V,Blueberry Burst,207530141,8.81,1.6875,0.81,0.9,C profile (asymmetrical slim taper),,"12""","Original pickups (7.5k neck / 8.4k bridge) with coil splits, phase flips, internal DIP switch",True,None noted,dealer measured,2026-07-19,2026-07-25
g041,les_paul,94.6,EXCLUDED,Willcutt Guitars,https://willcuttguitars.com/products/gibson-les-paul-standard-60s-plain-top-ebony-top-135-lps6p00ennh1-215560135,2599,New,"Lexington, KY",,Gibson Les Paul Standard 60s Plain Top,Ebony Top,215560135,8.8,1.694,0.8,0.93,60s SlimTaper,SlimTaper; dealer-measured neck depth .80-.93 (12th slightly over .92 target),"12""",60s Burstbuckers (Alnico 5),Hardshell case included,,dealer measured,2026-07-19,2026-07-19
g011,es_335,93.8,ACTIVE,Reverb – Mike & Mike's Guitar Bar,https://reverb.com/item/96595265-1975-gibson-es-335-tdc-vintage-semi-hollow-guitar-cherry-figured-maple-w-t-tops-case,5199.99,Excellent (near-mint per seller),"Seattle, WA",1975,Gibson ES-335 TDC,Cherry (figured/curly maple body),,7.5,1.5625,0.805,0.95,Slender C (3-piece maple neck),"Seller describes 'Slender C' — slim, fast shoulders",,"Original T-Top humbuckers (neck 8.4k, bridge 7.1k)",Vintage non-original black tolex hardshell case,Replacement vintage-style pickup covers and reflector knobs; otherwise original (ABR-1 + trapeze),dealer measured,2026-07-19,2026-07-25
g004,les_paul,93.5,ACTIVE,Reverb – Righteous Guitars,https://reverb.com/item/75013356-gibson-les-paul-standard-1960-p-137-express-shipping-g-185-serial-r060012-plek-d,7200,Brand New,"Roswell, GA",,Custom Shop 1960 Les Paul Standard Reissue (Beauty of the Burst p.137 inspired),Sunburst over monster chevron flame maple,R0 60012,8.86,1.6875,0.82,0.92,"Slimmer-side 1960 carve, rolled fingerboard edges",Dealer calls carve 'on the slimmer side' with rolled board edges for comfort,"12""",Custombuckers,Hardshell case,None; PLEK'd by dealer,dealer measured,2026-07-19,2026-07-25
g120,les_paul,93.2,ACTIVE,Reverb – James's Shop (private seller),https://reverb.com/item/99672257-gibson-exclusive-les-paul-standard-60s-aaa-bourbon-burst-guitar-with-case,2150,"Excellent (near mint, minor handling marks)","Copiague, NY (Long Island; LOCAL SALE ONLY)",2022,"Gibson Les Paul Standard 60s Exclusive run, AAA Figured Top",Bourbon Burst (AAA ribbon flame),,8.4,1.695,,,60s SlimTaper (factory carve; per-unit depths not stated),"Slim taper 60s-style neck, described as fast/resonant","12""",490R/490T (seller-swapped; confirm whether original Burstbucker 61R/61T included),"OHSC with all case candy, tools, tags, documents",Tuners swapped to Kluson-style; pickups swapped BB61R/61T to 490R/490T,dealer measured,2026-07-24,2026-07-25
g038,les_paul,92.9,ACTIVE,Wildwood Guitars,https://wildwoodguitars.com/products/wildwood-spec-1960-les-paul-standard-gloss-72,7349,New,"Louisville, CO",,Gibson Custom Shop Wildwood Spec 1960 Les Paul Standard Reissue (Gloss),Beauty of the Burst Cover Burst,05183,8.5,1.687,0.83,0.9,1960 Wildwood Spec,"1960-style slim-medium carve, .830-.900 taper close to target","12""",Wildwood Spec Custombuckers (unpotted),Brown/Pink Lifton reissue hardshell,,dealer measured,2026-07-19,2026-07-25
g065,les_paul,92.9,ACTIVE,Empire Music,https://empiremusic.com/products/gibson-custom-shop-1960-les-paul-standard-reissue-vos-washed-cherry-sunburst-05456,6699,New (VOS),"Mt. Lebanon (Pittsburgh), PA",2026,Gibson Custom Shop 1960 Les Paul Standard Reissue VOS (R0),"Washed Cherry Sunburst, nitro VOS",05456,8.69,1.69,,,60s SlimTaper,Fast slim '60 carve (last-year-Burst profile),"12""","Custombucker Alnico 3, paper-in-oil caps, CTS pots",Brown/pink Lifton reissue case,None,dealer measured,2026-07-19,2026-07-25
g003,les_paul,92.7,ACTIVE,Reverb – Alex's Gear Emporium,https://reverb.com/item/98912082-gibson-custom-shop-60th-anniversary-1960-r0-les-paul-standard-reissue-lemon-burst-vos-v2-neck,5399,Excellent,"Kernersville, NC",2020,"Custom Shop 60th Anniversary 1960 Les Paul Standard Reissue (R0), V2 neck",Lemon Burst VOS,,8.31,,0.803,0.908,1960 V2 carve (slim taper),V2 slim carve — seller sold it precisely because it is thinner than his preference,,"Custombuckers (bridge 7.66K, neck 7K, all original)","Original case, 60th Anniversary COA, badge, all case candy",Knobs swapped to aged RS Guitarworks reflectors (originals included),dealer measured,2026-07-19,2026-07-25
g032,les_paul,92.7,ACTIVE,Chicago Music Exchange,https://chicagomusicexchange.com/products/gibson-custom-60-les-paul-sunburst-2615495,4495,Used - Very Good,"Chicago, IL",,Gibson Custom Shop 1960 Les Paul Standard Reissue (R0),Sunburst (light factory aging),09558,8.75,1.6875,0.81,0.93,C profile (1960 slim),,"12""","Original Custom Shop humbuckers, neck 8.0k / bridge 7.9k",True,Strap buttons replaced,dealer measured,2026-07-19,2026-07-25
